breakpoints,primitives,points
27000,movel_fit,"[array([1077.27102269,   44.12353344,  993.02299167])]"
27333,movel_fit,"[array([1079.22554277,   50.68343421,  993.00226813])]"
27666,movel_fit,"[array([1081.21859614,   57.23078372,  992.90161314])]"
28000,movel_fit,"[array([1083.24716489,   63.78767931,  992.71526645])]"
28333,movel_fit,"[array([1085.28842971,   70.31389393,  992.44075126])]"
28666,movel_fit,"[array([1087.33966314,   76.8354662 ,  992.07529547])]"
29000,movel_fit,"[array([1089.39479742,   83.36856131,  991.61727029])]"
29333,movel_fit,"[array([1091.43111653,   89.87756036,  991.07085191])]"
29666,movel_fit,"[array([1093.44422196,   96.38596567,  990.43811774])]"
30000,movel_fit,"[array([1095.42908017,  102.91714315,  989.7221546 ])]"
30333,movel_fit,"[array([1097.36287361,  109.43690003,  988.93459489])]"
30666,movel_fit,"[array([1099.23864577,  115.96368441,  988.08369263])]"
31000,movel_fit,"[array([1101.05073081,  122.52371527,  987.17821942])]"
31333,movel_fit,"[array([1102.77593481,  129.08069071,  986.23778857])]"
31666,movel_fit,"[array([1104.40766305,  135.65896468,  985.27575603])]"
32000,movel_fit,"[array([1105.93738169,  142.28103603,  984.30748053])]"
32333,movel_fit,"[array([1107.34326141,  148.91232389,  983.35843399])]"
32666,movel_fit,"[array([1108.61666159,  155.57552815,  982.44709225])]"
33000,movel_fit,"[array([1109.74708029,  162.29305409,  981.59350543])]"
33333,movel_fit,"[array([1110.71379312,  169.02523451,  980.82600177])]"
33666,movel_fit,"[array([1111.50653791,  175.79116764,  980.16495769])]"
34000,movel_fit,"[array([1112.11331091,  182.60845532,  979.63099748])]"
34333,movel_fit,"[array([1112.517639  ,  189.43012185,  979.24731586])]"
34666,movel_fit,"[array([1112.71023604,  196.26670583,  979.02864282])]"
35000,movel_fit,"[array([1112.68156089,  203.12387155,  978.98679179])]"
35333,movel_fit,"[array([1112.42504738,  209.95875564,  979.12791017])]"
35666,movel_fit,"[array([1111.93686905,  216.77799105,  979.45132584])]"
36000,movel_fit,"[array([1111.21405875,  223.58624413,  979.95136753])]"
36333,movel_fit,"[array([1110.26355056,  230.33188787,  980.61106572])]"
36666,movel_fit,"[array([1109.08887529,  237.02711903,  981.41199734])]"
37000,movel_fit,"[array([1107.69339238,  243.68537819,  982.33265585])]"
37333,movel_fit,"[array([1106.09500823,  250.26422363,  983.33979634])]"
37666,movel_fit,"[array([1104.30098026,  256.78297851,  984.40613313])]"
38000,movel_fit,"[array([1102.31726236,  263.26281194,  985.50417974])]"
38333,movel_fit,"[array([1100.16893045,  269.6682787 ,  986.59651675])]"
38666,movel_fit,"[array([1097.86353315,  276.02569467,  987.65693398])]"
39000,movel_fit,"[array([1095.40863448,  282.35865588,  988.65999347])]"
39333,movel_fit,"[array([1092.83489378,  288.63517103,  989.57376423])]"
39666,movel_fit,"[array([1090.15177482,  294.88152931,  990.37859188])]"
40000,movel_fit,"[array([1087.3696572 ,  301.12158589,  991.05677334])]"
40333,movel_fit,"[array([1084.52477681,  307.32493372,  991.5889816 ])]"
40666,movel_fit,"[array([1081.63048536,  313.51613784,  991.96666527])]"
41000,movel_fit,"[array([1078.70093654,  319.7201465 ,  992.18446541])]"
41333,movel_fit,"[array([1075.77726092,  325.90855249,  992.24057446])]"
41666,movel_fit,"[array([1072.87640439,  332.10790908,  992.14066373])]"
42000,movel_fit,"[array([1070.01736009,  338.3452522 ,  991.89401005])]"
42333,movel_fit,"[array([1067.24602184,  344.59334792,  991.51768862])]"
42666,movel_fit,"[array([1064.58467049,  350.88093438,  991.03197793])]"
43000,movel_fit,"[array([1062.05844547,  357.23930544,  990.46071759])]"
43333,movel_fit,"[array([1059.7181993 ,  363.64095581,  989.83782109])]"
43666,movel_fit,"[array([1057.59416608,  370.11534505,  989.19618131])]"
44000,movel_fit,"[array([1055.72187838,  376.69084102,  988.57179449])]"
44333,movel_fit,"[array([1054.1562242 ,  383.32966611,  988.00854113])]"
44666,movel_fit,"[array([1052.93472258,  390.04763303,  987.54416905])]"
45000,movel_fit,"[array([1052.0964803 ,  396.85254244,  987.21408866])]"
45333,movel_fit,"[array([1051.68074019,  403.68027582,  987.04879888])]"
45666,movel_fit,"[array([1051.70647546,  410.51812567,  987.06329696])]"
46000,movel_fit,"[array([1052.1830497 ,  417.36266611,  987.25959157])]"
46333,movel_fit,"[array([1053.09837976,  424.13497378,  987.62149808])]"
46666,movel_fit,"[array([1054.42917462,  430.82942358,  988.12002036])]"
47000,movel_fit,"[array([1056.14652829,  437.44923502,  988.71733472])]"
47333,movel_fit,"[array([1058.19880336,  443.94613613,  989.3638464 ])]"
47666,movel_fit,"[array([1060.54769707,  450.34231868,  990.01350616])]"
48000,movel_fit,"[array([1063.1579698 ,  456.66291887,  990.62106831])]"
48333,movel_fit,"[array([1065.97187414,  462.88067242,  991.13890824])]"
48666,movel_fit,"[array([1068.9569398,  469.0281317,  991.5295956])]"
49000,movel_fit,"[array([1072.0836252,  475.1363896,  991.7596466])]"
49333,movel_fit,"[array([1075.29447046,  481.18050416,  991.80026897])]"
49666,movel_fit,"[array([1078.56209948,  487.19251591,  991.63255959])]"
50000,movel_fit,"[array([1081.86008697,  493.20300849,  991.24329114])]"
